"Nid","Title","theme camp","Activity Categories","Long Blurb for website / app","Scheduled activities","Short blurb for the WTF Guide","Type","latitude","longitude","Infustructure"
"5511","PAC-MAN","","","I am sure we all have fond memories of playing PAC-MAN at the local store growing up... For the little ghosts that got away last year, PAC-MAN is back this year, be sure to say HI! Bloop, Bloop, Bloop....","","Hold on Tankwa towners, PAC-MAN is heading your way!","Mutant Vehicles","","",""
"5498","THE MYRAPID","","","","","","Artwork Registration","","",""
"5495","Mobile Avatar Tree","","","","","","Artwork Registration","","",""
"5494","I(ce) Spy","","","","","","Artwork Registration","","",""
"5487","M*A*S*H*E*D  TRUCK","","","Whatever we said last year... I don't remember exactly but I think it was quite good.  Do you guys have our blurb from last year ?","","The M*A*S*H*E*D  TRUCK returns for yet more fearsome phat & funky fun. ","Mutant Vehicles","","",""
"5479","The Noddy Car","","","When Noddy comes to town he brings all his friends and makes sure they all have a great time. Noddy shares his toys with his friends and does all he can to make them happy. So what better a friend can he be when he brings his bed along too?

The Noddy Car is a modified VW Beetle towing a trailer made up to be a bed for all Noddy's friends and toys.  Lots of LED lights will be attached to the canopy for easy playing.","","When Noddy comes to town he brings all his friends and makes sure they all have a great time. Noddy shares his toys with his friends and does all he can to make them happy. So what better a friend can he be when he brings his bed along too? ","Mutant Vehicles","","",""
"5475"," Vicky Ragnarok","","","Tapping into the theme PLAY this boat initial idea came form the comic series Vicky the viking  that entertained us all when we were children . To spice  it up a bit we will use decoration from the post apocalyptic era with twist of this characters boat.  ","","Tapping into the theme PLAY this boat initial idea came form the comic series Vicky the viking  that entertained us all when we were children . To spice  it up a bit we will use decoration from the post apocalyptic era with twist of this characters boat.  ","Mutant Vehicles","","",""
"5471","Dance of a Thousand Flames","","","","","","Performance Registration","","",""
"5436","Flowdidge","","","","","","Performance Registration","","",""
"5429","The Saga of the elusive Karoo Stofadil","","","","","","Artwork Registration","","",""
"5404","Gobo","","","Gobo the owl does whatever Lobo the wolf requires ...","","Gobo the owl does whatever Lobo the wolf requires ...","Mutant Vehicles","","",""
"5383","RaveRover","","","Come and Find us... rocking and laughing to funky upbeat music... playful sound that will keep you going through the day and night :) ","","Join us for a Playful Dance Floor of Fantastic uplifting beats, rocking tunes and Fun energy.. a Dance Floor guaranteed to get you Dancing. ","Mutant Vehicles","","",""
"5187","Woza","","","Inspired by Indian my rickshaw with its full bells and whistles a colorful canopy over the passage seat, the bike frame painted black with white strips with a lot of colorful lights to brighten up Tankwa Town.","","My rickshaw inspired by Bombay with full bells and whistles a colorful canopy over the passage seat, the bike frame painted black with white strips with a lot of colorful led lights to brighten up Tankwa Town.","Mutant Vehicles","","",""
"5180","Picnic on Wheels","","","Who doesnt like sitting around a picnic bench having a great time with your friends? Or even better, sharing a picnic bench with complete strangers, just to become great friends at the end of the day... The Picnic on Wheels takes this to the next level, where fellow Tanka Towners can enjoy a ride, meet new people and whats a picnic without some good saamies. Be sure to catch a ride on Tankwa's Picnic on Wheels!","","Remember those old Mike's Kitchen tables, or the picnic benches at your favorite hang-out? The friends you have made around them and the stories told will last a life time... Be sure to catch a ride on Tankwa's Picnic on Wheels!","Mutant Vehicles","","",""
"5065","MUTANT RECOVERY","","","UF JOE MUTANT RECOVERY is a recovery vehicle for assisting other mutants in distress. Look for our orange flashing light on our roof, give us a shout and we will come and help you as best we can.","","UF JOE MUTANT RECOVERY is a recovery vehicle for assisting other mutants in distress. Look for our orange flashing light on our roof, give us a shout and we will come and help you as best we can.","Mutant Vehicles","","",""
"5031","Nyatiti solo by Makadem","","","","","","Performance Registration","","",""
"5023","Tao of Flirting-- Sex magic and Erotic Intelligence","","","","","","Performance Registration","","",""
"4976","Tools for Navigating altered states and the ayahuasca experience","","","","","","Performance Registration","","",""
"4943","Dust Devil Saloon Bar","","","","","","Artwork Registration","","",""
"4942","Dust Devil Wagon","","","The Dust Devil Ox Wagon will ride the playa destined for the Dust Devil Saloon Bar. If you see it on the move its probably on its way to stock the bar. Dare to challenge the Devil for an ice cold draft or a shooter? ","","The Dust Devil Ox Wagon will ride the playa destined for the Dust Devil Saloon Bar. If you see it on the move its probably on its way to stock the bar. Dare to play the Devil for an ice cold draft or a shooter?","Mutant Vehicles","","",""
"4936","The Magic Carpet Ride","","","A magic carpet that floats through the desert as if suspended on thin air. Hop on, put your G&T on the drinks table, and experience a whole new world in the shade of its umbrella.","","Catch a ride on a magic carpet gliding through the desert. You'll experience a whole new world.","Mutant Vehicles","","",""
"4931","Lola the Dead Unicorn","","","In her past life she was a scooter, but that was a long time ago in a galaxy far, far away. After a scrapyard-frankenstein makeover, she now runs wild on the Tankwa plains. So what sound does a Unicorn make? Ggrrrrrrrr...","","Lola rides again! So Rust 'n Dust, what are you guys braaing tonight? ""Unicorn...tastes like sunshine and rainbows.""","Mutant Vehicles","","",""
"4882","Bloch","","","","","","Artwork Registration","","",""
"4865","Growth ","","","","","","Performance Registration","","",""
"4857","Time Machine","","","The Time Machine is a gift from future Earth, where ZAI – our AI overlord – loves nothing more than a fine party after a long year spent ruling over humanity. 

Think of the Truck as a portable party drone, using advanced navigational technology to pinpoint the precise location of your next good time. Once its reconnaissance has yielded a target, it homes in and unfolds into a deep-space DJ station with a high-fidelity sound system and a laser light show.

The vehicle's artificial intelligence will monitor your heartbeat, brain waves and temporal resonance splines (some call this 'dancing') to modify the music for maximum satisfaction.","","The Time Machine is a gift from future Earth, where ZAI – our AI overlord – loves nothing more than a fine party after a long year spent ruling over humanity. ","Mutant Vehicles","","",""
"4819","Pause","","","","","","Artwork Registration","","",""
"4794","It's a Tarp!","","","","","","Artwork Registration","","",""
"4793","Splash!","","","","","","Artwork Registration","","",""
"4688","Lilly the Leviathan","","","Molly the mollusc (A.K.A psy the snail) took a well-deserved holiday after the previous Burn. She slimed herself all the way up the N7 to the sleepy seaside village, Langabaan. After a few days lounging on the beach and sipping klippies and coke, she became restless and decided to persue an activity. Being not particularly passionate about water sports she discovered that there was not much too do in Langabaan and was therefore left to vent out her excess energy by taking a long walk on the beach.

The sun was setting, the South Easter gently whistled past Molly’s antennae and the sea sung to her with its crumbling waves. However, she felt somewhat lonely, longing for someone to share this beautiful moment with her. Just as she was about to download tinder, the waves in front of her parted. Out from the depths emerged a creature, something Molly had never seen before, not even on some late night Discovery show. At first, Molly was scared. However, as this aquatic beast approached her, she could not help but be slightly swooned by its sparkling scales and virile dorsal fin.

Molly was not lonely for the last few days of her holiday. She had the summer romance any girl dreams of and biological processes that no biologist could have ever imagined. 

A few months after leaving Langabaan and returning to the daily grind she discovered that she had not only left that town with a whole bunch of ‘new eye-opening experiences’, she had forgotten to use protection and is pregnant.

The ultrasound relieved a strange creature. Something vaguely resembling a hybrid between a gastropod and a mythic deep ocean monster. It will light up at night, much like its mother but is far more stream line and locomotes itself on two wheels (while in the terrestrial biosphere). 

While gestation has been a roller coaster of emotions, Molly knows that her offspring is going to be a wild, mysterious and wonderful creature that will be loved by all.

As Lilly will still be young, so she will be a modest-sized monster, we will watch her grow in the next few years.

She will name her daughter, ‘Lilly the Leviathan’.

Leviathan (/lᵻˈvaɪ.əθən/; Hebrew: לִוְיָתָן, Modern Livyatan, Tiberian Liwyāṯān) is a big fish referenced in the Tanakh, or the Old Testament. This word has become synonymous with any large sea monster or creature.
","","Molly the mollusc (A.K.A psy the snail) took a well-deserved holiday after the previous Burn. She slimed herself all the way up the N7 to the sleepy seaside village, Langabaan. After a few days lounging on the beach and sipping klippies and coke, she became restless and decided to pursue an activity. Being not particularly passionate about water sports she discovered that there was not much too do in Langabaan and was therefore left to vent out her excess energy by taking a long walk on the beach.","Mutant Vehicles","","",""
"4675","GMAC (Greasemonkey Mechanical Assistance Co-ordinator)","","","The Greasemonkeys have a long history of providing repair services to needy burners who often resemble apocalypse survivors desperate for a place of refuge and help.. Whilst most repairs happen at the Greasemonky camp (behind DMV) there are those immovable objects and mutants that need bed-side assistance. Experience has taught that a tool or a spare part is always left behind when doing on foot mobile repairs which slows us down. Therefore we have created the GMAC (Greasemonkey Mechanical Assistance Co-ordinator) which is a fully kitted mobile workbench on wheels that transports Greasemonkeys around the burn as they seek to repair all that is broke. Whether your car wont start, flame-thrower won’t flame, or your soul has a hole the GMAC will be on hand ready to sort you out once and for all.","","The GMAC (Greasemonkey Mechanical Assistance Co-ordinator) is a fully kitted mobile workbench on wheels that transports Greasemonkeys around the burn as they seek to repair all that is broke. Whether your car wont start, flame-thrower won’t flame, or your soul has a hole the GMAC will be on hand ready to sort you out once and for all.","Mutant Vehicles","","",""
"4651","The Pangorarri","","","The Pangorarri was inspired by mother nature. This wonderful little creature will be moon walking its way around Afrika Burn 2017 scaling everyone up and making sure their phist pumps are in check. This little 1-4 seater quadracycle party animal will be moving people and sharing its story of how it came to be and where it is going in its life journey. As the sun sets, the Pangorarri will turn on her inner light which will be shared with all the dusty desert dwellers as she shines from the inside with funky internal LEDs","","The Pangorarri is the phunkiest phist pumping party animal Afrika Burn 2017 is gonna see. It is a larger version of one of natures rare gems, the pangolin. And all powered by human energy - a quadracycle. Come join us as we quadracycle our way around the Binnekring sharing this rare desert denizen.","Mutant Vehicles","","",""
"4641","The Bar Fly","","","The Bar Fly is a human powered, octo-cycled, dust eating locomotive. When you see it, you'll know what we mean. Remember it only moves with you, so start pedalling or jog on mate.

Custom made, with special appearances from the axles of some of South Africa's most iconic and common scrap yard stocked vehicles - the VW beetle and the Nissan champ. ","","The Bar Fly is a human powered, octo-cycled, dust eating locomotive. When you see it, you'll know what we mean. Remember it only moves with you, so start pedalling or jog on mate.","Mutant Vehicles","","",""
"4634","Vuvalini","","","Cutest girl on the block. This lady has travelled the desert entertaining wherever she goes. The honeybun of motorcyle sidecars! Built by LittleBull of Camp Anvil.","","Cutest girl on the block. This lady has travelled the desert entertaining wherever she goes. The honeybun of motorcyle sidecars! Built by LittleBull of Camp Anvil.","Mutant Vehicles","","",""
"4632","Ossewa","","","A modern day take on how the Karoo was navigated hundreds of years ago. Now we can move people around safely with ease! Brought to you by Littlebull from Camp Anvil!","","A modern day take on how the Karoo was navigated hundreds of years ago. Now we can move people around safely with ease! Brought to you by Littlebull from Camp Anvil!","Mutant Vehicles","","",""
"4628","Grizzila Queen of the Desert","","","Introducing Grizzila Queen of the Desert: the tastiest morsel 2ish of the Playa. 

*Wolf Whistle* 

This scrumptious treat – with her family of shrunken heads, her 28 (and counting) good eyes and all of her most fabulous finery – is set to bring a smile to your dial. 

Don't be intimidated by her supermodel good looks or Colgate smile, she's one social lady. Grizzila’s a regular Chatty-Cathy who has time for everyone. A delicious slice who loves nothing more than spreading delight and the odd cold-beverage.  

If you see her around stop and say 'howzit my china'. Perhaps you’ll get a little more than you bargained for … Oooo. Naughty, naughty. 

Oh yeah baby. Oh yeah. 
","","Introducing Grizzila Queen of the Desert: the tastiest morsel 2ish of the Playa. 

*Wolf Whistle* 

This scrumptious treat – with her family of shrunken heads, her 28 (and counting) good eyes and all of her most fabulous finery – is set to bring a smile to your dial. 

Don't be intimidated by her supermodel good looks or Colgate smile, she's one social lady. Grizzila’s a regular Chatty-Cathy who has time for everyone. A delicious slice who loves nothing more than spreading delight and the odd cold-beverage.  

If you see her around stop and say 'howzit my china'. Perhaps you’ll get a little more than you bargained for … Oooo. Naughty, naughty. 

Oh yeah baby. Oh yeah.
","Mutant Vehicles","","",""
"4622","Katryn","","","Katryn is mutant steampunk hell-cat. She roams the plains of the Tankwa living on dust and memories. She loves it when the circus comes to town every year. Then she feasts on desert rats, creepy drunks, sparkle ponies, errant children and the ocassional white madam. She's quite shy, but if you throw scraps of bacon at her from a distance she may warm up to you. She also loves a good ear scratch, but only from her beloved Princess Feisty. And she farts puffs of smoke...","","Katryn is mutant steampunk hell-cat. She roams the plains of the Tankwa living on dust and memories. She loves it when the circus comes to town every year. Then she feasts on desert rats, creepy drunks, sparkle ponies, errant children and the ocassional white madam. She's quite shy, but if you throw scraps of bacon at her from a distance she may warm up to you. She also loves a good ear scratch, but only from her beloved Princess Feisty. And she farts puffs of smoke...","Mutant Vehicles","","",""
"4611","The Disco Bee","","","The disco bee!! A tribute to our tiny ( but extremely important) furry little friends.
With out them we are screwed! If you see us ...  smile, wave and come shake some ass to our deliciously sexy disco beats! 
Here's to the bee's!!","","The disco bee!! A tribute to our tiny ( but extremely important) furry little friends.
With out them we are screwed! If you see us ...  smile, wave and come shake some ass to our deliciously sexy disco beats! 
Here's to the bee's!!","Mutant Vehicles","","",""
"4560","Flying Silber","","","We, the intergalactic crew - The Space Cowboys, are pulling our resources in to a unified drive of our common theme and ethos that is recognisably us. 
We believe we are all aliens, often in an alien land, but have an inherent need to Create, to Love and to Play through collaboration, music, dance and of course through general shenanigans. 
Brace yourselves as we will be bringing the brilliant Flying Silber to come play on the Playa! 
This marvellous silver disc will dazzle humans and aliens alike with its lasers and lights!! 
Just remember - we come in peace!!","","This year the intergalactic crew, The Space Cowboys, have brought the brilliant Flying Silber to come play on the Playa! 
This marvellous silver disc will dazzle humans and aliens alike with its lasers and lights!! 
Just remember - we come in peace!!","Mutant Vehicles","","",""
"4477","Puck the Dragon","","","Come fly PUCK the magic DRAGON with us. ","","Come fly PUCK the magic DRAGON with us. ","Mutant Vehicles","","",""
"4394","SHAKIN' NOT STIRRED + Silver Fox","","","Cocktails so delicious they could kick Cafe Caprice's in the nuts!","","Cocktails so delicious they could kick Cafe Caprice's in the nuts!","Mutant Vehicles","","",""
"4386","The Spirit Train","","","Please see previous blurb","","LOBO LIVES .... LOBO LOVES ... LOBO LISTENS
Awoooooooooooooooooooooooooooooooo","Mutant Vehicles","","",""
"4381","Female DJ and performer with the love of progressive psy-trance, techno and break beat","","","","","","Performance Registration","","",""
"4230","capoeira on fire","","","","","","Performance Registration","","",""
"4187","Playing with Fire","","","","","","Artwork Registration","-32.3289000000","19.7446000000",""
"4149","Gong Stand","","","","","","Artwork Registration","","",""
"4135","Experimental Psybient / Global Music & Art","","","","","","Performance Registration","","",""
"4121","Window Shopping","","","","","","Artwork Registration","","",""
"4116","Tankwa Dragon","","","The Tankwa's own psychedelic dragon gliding across the desert sky. Crafting electronic and organic sounds and visuals that will melt your mind. Look for our flags to find the unexpected. ","","The Tankwa's own psychedelic dragon gliding across the desert sky. Crafting electronic and organic sounds and visuals that will melt your mind. ","Mutant Vehicles","","",""
"4086","The temple of GOD","","","","","","Artwork Registration","","",""
"4013","SHELL","","","","","","Artwork Registration","","",""
"4000","skop","","","","","","Artwork Registration","","",""
"3991","Cavity wall: Nouveau 7","","","","","","Artwork Registration","-32.3273000000","19.7453000000",""
"3990","Emerge","","","","","","Artwork Registration","","",""
"3981","First People""s Entertainment and Cultural Exchange","","","","","","Performance Registration","","",""
"3978","Volstruis Paradys","","","","","","Artwork Registration","","",""
"3976","Flight of Fanta-C","","","“Flight of Fanta-C” (or the lesser Spotted Karroo Blue Morpho)

Long thought to be extinct, this the worlds largest butterfly has been recently spotted in the Karroo again. 

Here are six interesting facts about them:
1.	These beautiful butterflies are one of the largest in the world, with a wingspan of up to 300 cm.
2.	Their gossamer wings are a glowing bright blue with clear dots.  This helps them to hide when they sitting down or to confuse predators with a bright flashing patina when they are flying at night.
3.	They drink the juices from fruit by sucking it up a straw-like appendage. (They are particularly fond of cocktails.)
4.	They have been known to carry other species in a cocoon-like structure, which is attached to their abdomen. 
5.	The entire life cycle of a lesser Spotted Karroo Blue Morpho butterfly from egg to adult is just 4 days.
6.	The lesser Spotted Karroo Blue Morpho butterflies are solitary but occasionally interact with small groups of other true ""butterflies"" belonging to the ""Papilionburnus: superfamily. They can be found on the open plains of the Karroo, South Africa. They are mainly active at sunset and early evening.

I hope that you found these facts interesting and learned something new.
Coetzee, G. (Anthropologists & Entomology) 1824","","“Flight of Fanta-C” (or the lesser Spotted Karroo Blue Morpho)
Long thought to be extinct, this the worlds largest butterfly has been recently spotted in the Karroo again. ","Mutant Vehicles","","",""
"3971","skyhook","","","","","","Artwork Registration","","",""
"3958","Lunatic Rover","","","Love to the moon and back with the Lunatic Rover. Once a car for sandy terrain, now exclusively found on moon territory. The Lunatic Rover is dazzling, glitzy and glammy.

The same team that brought the Lady Bugs to previous Burns is bringing the Lunatic Rover. Don't be shy to come say hi ","","Love to the moon and back with the Lunatic Rover. Once a car for sandy terrain, now exclusively found on moon territory. The Lunatic River is dazzling, glitzy and glammy.","Mutant Vehicles","","",""
"3953","The Organ Player","","","","","","Performance Registration","","",""
"3947","Yggdrasil The Tree of Life","","","","","","Artwork Registration","-32.3286000000","19.7416000000",""
"3936","BLOW ME","","","","","","Artwork Registration","","",""
"3928","MiniKring - Come'nPlay","","","","","","Artwork Registration","","",""
"3911","Wordplay","","","","","","Artwork Registration","","",""
"3896","Dung Beetle - only for 2018","","","","","","Artwork Registration","","",""
"3854","Herman the Hermit (Crab)","","","As our oceans are the often source of inspiration for artwork, we wanted our artwork to also reflect how man-made waste has impacted ocean wildlife. Hermie the Hermit was inspired by the phenomenon of hermit crabs living in plastic bottle caps or aluminum cans which, on certain coastlines, have become more prevalent than sea shells.","","Hermie the Hermit was inspired by the effect of waste on ocean life-- the phenomenon of hermit crabs living in plastic bottle caps or aluminum cans which, on certain coastlines, have become more prevalent than sea shells. Look for him  scuttling with confidence across the dusty Tankwa night.","Mutant Vehicles","","",""
"3817","Playroom of Light","","","","","","Artwork Registration","","",""
"3699","Helter Smelter","","","","","","Artwork Registration","","",""
"3521","The Naked Spectrum","","","","","","Performance Registration","","",""
"3441","Flower baby","","","Flower Baby mutant vehicle is a spring garden in motion, bringing the brightest most colorful flowers to adorn the Tanqua Landscape.","","Flower Baby MV is a spring garden in motion, covered in bright colorful flowers, it wil adorn the tanqua landscape.","Mutant Vehicles","","",""
"3244","Tony Manero","","","Tony brings the disco dazzle to the dusty desert and will delight your earbuds with delectable beats. Look out for the moving love-machine as he sparkles across the Binnekring and try catch some toasties as well. Everybody love everybody","","Tony brings the disco dazzle to the dusty desert and will delight your earbuds with delectable beats","Mutant Vehicles","","",""
"3146","Mirror Triptych","","","","","","Artwork Registration","","",""
"2545","Pipe Screamer","","","This aint no pipe dream, this is a pipe scream. Dust and rust is our thing!","","This aint no pipe dream, this is a pipe scream. Dust and rust is our thing!","Mutant Vehicles","","",""
"2343","Slab","","","We created the mutant as a toy, to start and it has subsequently found a special spot in our hearts for the burn, being a return burner, and a mechanic, it was only fitting to take the Slab with!","","Borne of the will to be at peace and pendulum in place.","Mutant Vehicles","","",""
"2042","The San Clan Van","","","","","","Artwork Registration","-32.3278000000","19.7430000000",""
"977","THE HAUPTBAHNHOF PLAY: The 11 Principles (Reinterpretation)","","","","","","Artwork Registration","","",""
"457","The Consciousness Field","","","","","","Artwork Registration","","",""
"451","Beth's Gondola","","","Beth’s beautiful Venetian Gondola will give her and her husband Brian the ability to explore Afrikaburn and will give others a chance to enjoy the creativity of their project. At night we are well lit up  and easy to find as you will see us floating across the desert. Join us out on the Binnekring and around the Clan to enjoy a wildly exciting shot of infused alcohol.","","Beth’s beautiful Venetian Gondola will give her and her husband Brian the ability to explore Afrikaburn and will give others a chance to enjoy the creativity of their project. At night we are well lit up  and easy to find as you will see us floating across the desert. Join us out on the Binnekring and around the Clan to enjoy a wildly exciting shot of infused alcohol.","Mutant Vehicles","","",""
"421","Super Dry","","","","","","Artwork Registration","","",""
"327","Desert Dinghy","","","TBC","","TBC","Mutant Vehicles","","",""
"242","The Wave","","","","","","Artwork Registration","","",""
"241","Mankala","","","","","","Artwork Registration","","",""
"238","Njami Njam","","","Nyami Njam is a Scooter converted to a fish, chased by a larger fish/crab ""chariot type trailer"" with a school of small fish on masts above, all lights no bytes.","","Nyami Njam is a Scooter converted to a fish, chased by a larger fish/crab ""chariot type trailer"" with a school of small fish on masts above, all lights no bytes.","Mutant Vehicles","","",""
"234","ChillMobile","","","Back again by popular demand, the ChillMobile will be cruising the streets of Tankwa Town offering rides to tired Burners, to and from ArtWorks, Jols and Burns. Just give us a signal and if there's space, we'll give you a ride to a destination of our choice.","","Back again by popular demand, the ChillMobile will be cruising the streets of Tankwa Town offering rides to tired Burners, to and from ArtWorks, Jols and Burns.","Mutant Vehicles","","",""
"232","round- about- here","","","","","","Artwork Registration","","",""
"230","Plays Gone Wild","","","","","","Performance Registration","","",""
"228","Dino Delta","","","Dino Delta - Millions of years of evolution, a lifetime of memories.","","Dino Delta - Millions of years of evolution, a lifetime of memories.","Mutant Vehicles","","",""
"227","Oiling the Midnight","","","","","","Artwork Registration","","",""
"226","Sandy Bay XL (Working Title)","","","","","","Artwork Registration","","",""
"225","Ode to Snowden","","","","","","Artwork Registration","","",""
"224","Temple of Gratitude","","","","","","Artwork Registration","","",""
"222","The Wheel of PLAY","","","","","","Artwork Registration","-32.3276000000","19.7467000000",""
"218","Cirque du SoPlay","","","","","","Artwork Registration","","",""
"214","The Red Shoe","","","","","","Artwork Registration","","",""
"211","Golden Spirals","","","","","","Artwork Registration","","",""
"208","The temple of Sound","","","","","","Artwork Registration","","",""
"207","Collide","","","","","","Artwork Registration","","",""
"205","Myriapodia","","","","","","Artwork Registration","","",""
"204","Burning Mail Postal Van","","","Keep an eye out for the Burning Mail postal van on Binnekring. Stop us if you wish to write a postcard (postcards and stamps provided) or ask us to deliver mail within Tankwa Town. We will do our best to find the recipient of your message. ","","Keep an eye out for the Burning Mail postal van on Binnekring. Stop us if you wish to write a postcard (postcards and stamps provided) or ask us to deliver mail within Tankwa Town. We will do our best to find the recipient of your message. ","Mutant Vehicles","","",""
"201","Dial-a-confession","","","","","","Artwork Registration","","",""
"198","Sprocket Rocket Reincarnate","","","It’s always nice to hang out in a bar at AfrikaBurn, but at the same time, the longer you linger, the more you feel you miss out on what’s going on “out there”

Enter the Sprocket Rocket.

The Sprocket Rocket is a human- powered, interactive BarBikeArtCar (BBAC). It is pedal propelled and has ice cold beer at times. A capacity of 7 pedalers/patrons can be interchanged with willing party-cipants as it navigates through the Tankwa Stardust","","It’s always nice to hang out in a bar at AfrikaBurn, but at the same time, the longer you linger, the more you feel you miss out on what’s going on “out there”

Enter the Sprocket Rocket.

The Sprocket Rocket is a human- powered, interactive BarBikeArtCar (BBAC). It is pedal propelled and has ice cold beer at times. A capacity of 7 pedalers/patrons can be interchanged with willing party-cipants as it navigates through the Tankwa Stardust","Mutant Vehicles","","",""
"197","Suboogiemarine","","","Join the Suboogiemarine in our unplanned journey to the depths of the ocean. The itinerary is undetermined but the adventure will most definitely be filled with strangeness, arbitrary meanders, cheeky dolphins and plenty other weird and wonderful creatures. Climb through the hatch and meet Steve, his German right hand man - Klaus!, the melodic guitarist, his stern but fair wife, and the rest of our instrumental crew members. We cannot wait to embark on this once in a lifetime desert voyage.","","Come submerge yourself in an offshoot of Wes Anderson’s beautiful mind. Fair warming: The Suboogiemarine plans to take many wrong turns, and it’s guaranteed that we’ll be choosing the scenic route. ","Mutant Vehicles","","",""
"195","The Portrait Exchange","","","","","","Performance Registration","","",""
"194","Bedouin Bus ","","","Take a slow ride on the Bedouin Bus into the 'burbs! ","","Take a slow ride on the Bedouin Bus into the 'burbs! ","Mutant Vehicles","","",""
"193","Potential of Su","","","","","","Artwork Registration","","",""
"192","The Tankwa Takkie","","","It's 4 AM and you've lost your camp. With no Uber or bicycle in sight, and all trains closed for the night, it looks like you're in for a long, lonely walk home. Suddenly, bright lights blind your pathway. As your eyes adjust, and you come to realise you're no longer in front of the VUVU lounge, your dawning reality is snuffed by the sight of dusty and gold, red-velvet seats and the illuminated bones of the Karoo. As the dust settles you step inside the enchanting mutant. Beverage on the house, you relax into the dilapidated opulence of the Tankwa Takkie. Tankwa Town's number one tuk-tuk service.","","It's 4 AM and you've lost your camp. With no Uber in sight, and all trains closed for the night, it looks like you're in for a long, lonely walk home. Suddenly, bright lights blind your path. Your eyes adjust as you realise you're no longer in front of the Vuvu lounge. The sight of dust and gold, red-velvet seats and the illuminated bones of the Karoo snuff your dawning reality. The dust settles. You step inside the mutant. Beverage on the house, you relax into the dilapidated opulence of the ‘Tankwa Takkie’. Tankwa Town's number one tuk-tuk service.","Mutant Vehicles","","",""
"190","The Purple Peacock","","","The Purple Peacock will be roaming Tankwa town, operated by The Purple Spanking booth crew. We will be searching for spankable assess and be dishing out  off-site spanks and returning any serious offenders to camp for a proper punishment.","","The Purple Peacock will be roaming Tankwa town. We will be searching for spankable assess and be dishing out  off-site spanks and returning any serious offenders to camp for a proper punishment.","Mutant Vehicles","","",""
"187","The Night of the Locust","","","The Night of the Locust.

A reworked old 1980's chevvy truck bright in colour and tainted metal. 
The mutant vehicle as inspired by the aesthetics and flight of a locust insect. Beautiful in it's ways and wings. Look out for this hardy insect for a a space to chill in the evening and a bite or drink by day. 

","","The Night of the Locust.

A reworked old 1980's chevvy truck bright in colour and tainted metal. 
The mutant vehicle as inspired by the aesthetics and flight of a locust insect. Beautiful in it's ways and wings. Look out for this hardy insect for a a space to chill in the evening and a bite or drink by day. 

","Mutant Vehicles","","",""
"184","The Unicorn","","","","","","Artwork Registration","","",""
"179","Road Runner","","","A dassie that likes to boogy to funky tunes","","A dassie that likes to boogy to funky tunes","Mutant Vehicles","","",""
"173","THE ELLY IN THE DESSY","","","Come take a ride in the african desert on THE ELLY IN THE DESSY or dance in her bubbles :)","","Come take a ride in the african desert on THE ELLY IN THE DESSY or dance in her bubbles :)","Mutant Vehicles","","",""
"171","army for peace","","","Atteeention! Don't stand in line, don't make your bed. The dancefloor is our battlefield. Report to front left. And that's a direct order! ","","Atteeention! Don't stand in line, don't make your bed. The dancefloor is our battlefield. Report to front left. And that's a direct order! ","Mutant Vehicles","","",""
"167","FRIVOLIS","","","FRIVOLIS is a sexy x3-wheeler which can be cycled or power driven by the scooter motor any where on the Binnekring! Sitting inside and staying cool amongst the gorgeous fabric floating around you,  while you travel around!! A ROMANTIC experience xxx","","FRIVOLIS is a sexy x3-wheeler which can be cycled or power driven by the scooter motor any where on the Binnekring! Sitting inside and staying cool amongst the gorgeous fabric floating around you,  while you travel around!! A ROMANTIC experience xxx","Mutant Vehicles","","",""
"165","Field of Dreams","","","","","","Artwork Registration","","",""
"160","Puzzled?","","","","","","Performance Registration","","",""
"157","Acid Squid","","","The Acid Squid is here, and hopefully we wont be inking ourselves. This Kraken has been birthed from the remnants of the SlowBoat and Smoken Token. It will be releasing melodic soundwaves pulsating through the Tankwa sea bed. Constructed by Jano January and Devin Isaacs","","The Acid Squid is here, and hopefully we wont be inking ourselves. This Kraken has been birthed from the remnants of the SlowBoat and Smoken Token. It will be releasing melodic soundwaves pulsating through the Tankwa sea bed. 
Constructed by Jano (Sheik Monei) January and Devin (Apache) Isaacs","Mutant Vehicles","","",""
"156","Moon Buggy","","","Have you ever seen the Moon and stars so bright as at Tankwa Town. Come and enjoy a ride on the Moon Buggy, so we can once again make you aware of the beauty of the Tankwa Moon and stars. The city lights can so easily obscure its wonder. Handmade gift on board!","","Bring that Moon down to the earth. Burners,  come and enjoy a ride on the Moon Buggy, so we can once again make you aware of the beauty of the Tankwa Moon and stars. The city lights can so easily obscure its wonder. ","Mutant Vehicles","","",""
"152","Family Portrait ","","","","","","Artwork Registration","","",""
"147","Taurus","","","Taurus - The African Dung Beetle  - more to come.","","Taurus - The African Dung Beetle","Mutant Vehicles","","",""
"142","Fuego the Brave","","","as above."" Where there's smoke, there's fire, that'll help you get higher""","","Fuego the Firetruck has joined the circus! Flag him down at the High T High Top and he may help you get high on his own supply.","Mutant Vehicles","","",""
"141","Bwana - Loki's baby rhino","","","Bwana - Loki's support vehicle","","Bwana - Loki's support vehicle","Mutant Vehicles","","",""
